DEFAULT,yrsaddrs,age,crcdebt,yremploy,income,mrtgebal,BranchID,ncustbrch,CustID,Education,ATMpcent,onlinefreq,othdebt,carvalue
No,14,29,1.255629444,13,67.29668821,146,102,6533,1066,high school incomplete,47.21590227,5.537828917,0,32.72572501
No,3,30,1.03052656,4,168.1247197,689,102,6533,1067,high school,29.69425405,9.574754708,1.105136335,11.61325258
Yes,5,32,0.288852203,6,38.60767693,541,102,6533,1068,some college,21.89227714,6.041472615,0,19.8431496
No,10,26,3.876691117,8,54.59986415,113,102,6533,1069,some college,19.94062258,8.92055494,7.042652198,17.62299593
No,8,39,1.854833157,10,55.91611829,340,102,6533,1070,undergrad degree,42.22074742,8.850732848,3.539080602,18.45273529
No,11,57,4.455585931,17,56.57996441,646,102,6533,1071,some college,40.43843198,2.702013726,7.144401053,33.17513804
No,9,62,0.970966251,17,58.7915424,151,102,6533,1072,some college,85.20091691,5.330616326,0.10182043,21.25770533
No,5,51,4.387151581,31,29.40057572,536,102,6533,1073,some college,17.87294092,3.931713321,0.011264772,21.21120126
No,6,28,1.868136794,6,87.35590591,60,102,6533,1074,undergrad degree,12.64692533,6.621748878,1.227555029,20.03405062
No,7,27,3.709543748,7,55.21019869,162,102,6533,1075,postgrad degree,30.34894263,6.505058286,3.366453624,34.33306104
No,14,35,5.643266431,14,98.64242306,1024,102,6533,1076,some college,41.48248935,6.359864482,3.393847654,23.70643785
Yes,2,36,1.179232179,4,20.62835419,556,102,6533,1077,undergrad degree,69.21678304,11.41554017,5.884120082,16.32800342
No,3,25,1.763869911,2,41.30363967,349,102,6533,1078,high school incomplete,26.40903717,7.254308276,2.913024593,25.33262381
No,4,32,3.201941913,5,46.7789318,299,102,6533,1079,undergrad degree,73.31090391,3.563517122,0,29.99626922
No,7,29,1.374978669,6,37.26941706,342,102,6533,1080,high school,35.22562447,2.879493298,2.70002563,28.29078124
Yes,0,40,11.23681736,3,23.48928659,591,102,6533,1081,undergrad degree,30.94994854,8.39210176,9.210726866,34.18881893
No,12,59,3.499748532,26,57.56500151,431,102,6533,1082,high school incomplete,38.16545784,5.510482166,0,27.932305
No,14,37,3.74674993,15,173.3433746,488,102,6533,1083,undergrad degree,82.87826956,9.04992401,0,24.8126086
Yes,0,26,2.242701902,0,65.05028679,271,102,6533,1084,some college,42.8052149,8.632256327,0,20.5533817
No,15,29,1.10925384,13,71.34997741,408,102,6533,1085,undergrad degree,21.23022251,2.502024396,3.864737545,21.69155037
No,12,30,2.126697661,11,78.72975445,180,102,6533,1086,some college,35.12102714,6.720435167,0,17.51996772
No,11,55,2.645884802,16,73.80305944,378,102,6533,1087,high school incomplete,52.55528865,7.302160857,0,17.90424365
Yes,4,23,2.477573442,3,39.60633302,375,102,6533,1088,some college,34.95269197,8.197260649,0,30.67807577
No,8,27,0.876729672,7,78.13183897,188,102,6533,1089,undergrad degree,68.84938454,7.175637766,5.836879778,19.21172814
No,9,31,4.824893807,9,187.1991687,569,102,6533,1090,some college,63.12328363,2.89841526,9.057755444,24.89771626
Yes,0,34,2.057687859,2,46.3059154,324,102,6533,1091,undergrad degree,48.66241151,3.825587527,6.53573813,16.4229051
Yes,10,39,1.038169327,12,75.30328245,887,102,6533,1092,high school,58.74215568,6.951508318,0,13.95111735
No,12,45,1.625464324,15,99.56285688,148,102,6533,1093,undergrad degree,18.37701633,4.54752571,3.03630417,17.89714426
Yes,4,34,0.673693486,5,41.37026468,695,102,6533,1094,some college,67.35338527,3.587151585,1.587889725,15.72389667
Yes,3,22,1.193239803,2,22.8100182,476,102,6533,1095,undergrad degree,44.79316943,2.2948756,0,11.83979189
No,3,29,3.113197416,3,43.99463909,115,102,6533,1096,some college,76.75682172,9.491519922,6.793650689,22.93869208
No,11,30,0.894185986,11,110.7937356,195,102,6533,1097,postgrad degree,15.2902546,1.422996934,0,4.683160099
No,16,32,1.138009774,15,91.88076211,192,102,6533,1098,high school,23.20203697,6.650111271,2.856218676,21.26637624
No,13,29,1.671402863,12,60.13345997,541,102,6533,1099,high school incomplete,53.36972007,3.810480253,0,19.38343423
Yes,11,33,3.647499412,11,55.04664179,1318,103,11270,1100,some college,35.53812266,0.153389173,7.933656713,12.6479514
No,3,31,1.696666838,4,31.18114585,204,103,11270,1101,some college,25.7283575,1.927122495,5.190383973,22.46933727
No,5,36,1.975586398,6,39.80227888,271,103,11270,1102,postgrad degree,57.64157211,5.275962775,6.486835873,5.030571151
No,11,69,3.576140583,20,57.86586654,466,103,11270,1103,undergrad degree,62.5081944,1.794327919,0,25.15810777
No,19,32,3.128138327,17,106.381308,825,103,11270,1104,high school,31.27237354,6.288219799,6.273449532,28.6800839
No,15,51,4.34481772,19,97.53952058,146,103,11270,1105,some college,74.26786608,9.427912827,7.900924467,32.2052436
Yes,4,27,2.034212152,4,30.75806534,158,103,11270,1106,undergrad degree,32.24977366,2.974418045,3.529833909,9.142818929
Yes,6,33,0.667716824,7,38.18393363,867,103,11270,1107,some college,75.0841111,4.953227634,0,17.10950908
Yes,3,34,8.45094584,4,76.03278066,410,103,11270,1108,postgrad degree,15.04450782,5.956220056,7.360584345,29.31244027
No,11,35,3.86257541,11,60.33257532,288,103,11270,1109,high school,27.89906373,7.410044895,4.965655051,7.424119278
No,14,40,1.357186931,16,92.88306795,138,103,11270,1110,some college,47.97271705,3.548595148,0,5.004576665
Yes,11,28,0.991246658,9,67.41950543,275,103,11270,1111,undergrad degree,23.35840799,4.032659456,0,26.28657897
No,2,40,0.340169937,5,233.724794,683,103,11270,1112,some college,62.01482158,6.66577543,0,8.169756485
Yes,3,25,2.079410098,3,77.4837463,320,103,11270,1113,some college,27.63701436,5.657088267,0.61673163,25.79641595
No,14,39,2.243233815,15,111.4649034,289,103,11270,1114,undergrad degree,55.46547762,2.986766134,1.779662997,6.271937632
Yes,4,25,1.587752894,3,32.21121524,227,103,11270,1115,high school,72.49682849,16.0152809,4.948163302,24.95681907
No,8,50,0.647141883,13,42.33606112,754,103,11270,1116,some college,58.98167473,21.31009288,1.87484255,13.20764419
No,11,37,1.317880229,12,59.09565401,294,103,11270,1117,some college,27.39555026,10.41199339,3.352707169,16.48326388
No,2,27,2.004679695,2,21.80017722,132,103,11270,1118,some college,43.64022761,2.468440691,5.222551748,17.77319169
Yes,0,25,6.714538961,0,15.53465827,296,103,11270,1119,some college,57.99805209,4.189907405,11.17412128,23.61004571
No,5,58,1.716447932,22,38.8958203,805,103,11270,1120,some college,39.20233492,21.40884229,0,18.32594429
No,12,61,4.970833455,24,95.69487202,346,103,11270,1121,some college,35.04558722,0.227046334,8.595439823,8.079581338
Yes,6,64,1.285598862,15,36.98096695,324,103,11270,1122,some college,68.19284087,6.33193306,0.902656077,24.53408464
No,0,24,3.789774831,0,39.0152766,216,103,11270,1123,undergrad degree,86.00841108,3.37872969,3.085114524,5.96738857
No,11,54,0.655696969,16,63.22328297,381,103,11270,1124,undergrad degree,34.57416577,1.5255694,4.664384641,23.91736683
No,8,42,4.996741653,11,95.6039871,771,103,11270,1125,high school,74.56185411,11.81904893,5.659650456,37.31446872
Yes,6,25,1.535679149,5,37.02837321,862,103,11270,1126,some college,38.12405519,7.454275231,3.678991202,20.01551897
Yes,2,30,0.927273364,3,35.22842892,241,103,11270,1127,high school,40.28582084,6.468661758,0,21.09959597
No,12,47,3.203185652,15,107.208568,146,103,11270,1128,undergrad degree,47.85288679,4.647345031,0,30.85218437
Yes,3,30,4.053202726,3,26.40612158,294,103,11270,1129,some college,29.3650083,3.47266925,4.234449346,21.8533106
Yes,1,25,4.158481081,1,55.7205666,149,103,11270,1130,undergrad degree,19.26316646,4.61599009,7.292034559,21.2628722
Yes,12,36,0.984975017,13,71.04764511,428,103,11270,1131,high school,31.98300375,2.946447148,4.536188342,13.19517866
No,11,28,4.476466708,9,71.98670852,158,103,11270,1132,some college,23.2073058,8.461229042,0.651896187,11.2842156
No,9,80,0.013287001,21,53.90054462,233,103,11270,1133,some college,27.07509149,4.711428462,2.341708725,12.06488231
Yes,3,25,2.24546591,3,24.78547567,266,103,11270,1134,some college,24.18307741,0.309340756,0,7.914508586
No,9,25,1.284707676,7,58.08731192,200,103,11270,1135,undergrad degree,59.78975335,1.334731612,5.148983773,23.18734369
No,16,42,4.604145242,17,86.46589988,340,103,11270,1136,some college,45.30741063,5.619930907,0.51538623,15.37963679
No,14,29,1.992552341,12,66.78143491,408,103,11270,1137,high school,45.90464402,0.084048639,3.075476204,26.53173791
No,9,44,2.377506613,12,56.98656168,411,103,11270,1138,some college,36.35669227,10.04814314,0,25.87213901
Yes,3,27,2.104352113,3,33.27552716,518,103,11270,1139,some college,68.55737707,9.229205459,6.59606336,38.73583117
Yes,2,37,1.0184855,4,29.18868146,378,103,11270,1140,undergrad degree,57.16695375,6.736643647,3.396159841,23.416359
No,9,54,0.832430963,15,51.86468768,932,103,11270,1141,some college,28.5964461,1.97147223,4.822184687,23.81840437
No,6,33,1.817649453,7,54.05852777,446,103,11270,1142,postgrad degree,35.94087496,8.659538142,2.33556877,31.98296107
No,15,50,1.133577696,19,73.81577594,833,103,11270,1143,some college,42.38407422,7.200945143,1.753165782,30.75704429
Yes,2,60,3.843549801,10,32.62772275,463,103,11270,1144,undergrad degree,43.63089353,6.995419213,0.568193444,28.58531018
No,8,43,2.33746596,11,36.65032651,382,103,11270,1145,undergrad degree,47.22816502,3.619540427,0,23.67023142
Yes,3,25,0.548064271,2,14.87763504,368,103,11270,1146,some college,63.85095584,1.757909839,0,15.97825755
No,7,29,0.678325556,6,46.72498925,346,103,11270,1147,some college,25.36664101,2.231334344,5.130079532,10.3042646
No,4,32,1.706463032,5,92.2332056,241,103,11270,1148,high school,30.47248853,3.410325139,2.541796199,23.42722998
No,18,42,1.542499688,19,172.8749459,425,103,11270,1149,undergrad degree,46.99840255,2.146597611,6.24419954,10.00959661
No,12,52,0.678035203,16,66.3118342,774,104,6007,1150,high school incomplete,85.10313071,2.404095651,4.137531726,12.81694661
No,8,27,0.656320954,7,89.77461671,114,104,6007,1151,some college,33.26944026,5.833824978,0.102984507,20.03458513
Yes,5,31,2.851374916,6,76.8244153,340,104,6007,1152,some college,44.10882381,13.78466661,1.390886991,28.96899253
No,17,35,2.231708074,16,84.23082618,172,104,6007,1153,some college,47.93712581,4.216203618,0.504781976,9.706940562
Yes,9,31,3.801806264,9,85.49951454,272,104,6007,1154,undergrad degree,74.28057054,6.494582821,7.307551069,23.44255135
No,12,35,1.798030752,12,118.7072462,355,104,6007,1155,some college,77.58618038,0.532473881,0,22.1147703
Yes,8,36,0.835544861,9,61.35586016,952,104,6007,1156,undergrad degree,42.921255,4.525148783,0,24.68565722
No,9,44,1.264988756,12,47.84198875,476,104,6007,1157,undergrad degree,30.95296697,4.159393747,5.876256451,31.40785621
No,16,47,0.628234163,18,87.50837577,276,104,6007,1158,postgrad degree,43.16283566,18.80866598,0,30.35192988
Yes,0,36,3.570865782,3,27.91763832,537,104,6007,1159,some college,30.20058484,4.668007541,0,25.22038762
No,15,65,3.449721557,22,78.49705511,281,104,6007,1160,some college,37.66509324,9.220302327,5.887773648,15.11574192
No,11,27,2.603402279,9,129.7147488,735,104,6007,1161,high school,32.19092112,2.458251424,0,9.264043742
Yes,5,32,5.407498608,6,31.80356549,662,104,6007,1162,some college,43.65745223,10.12522025,7.016593236,22.36168516
No,3,57,2.982499292,22,177.9630291,393,104,6007,1163,undergrad degree,44.70820825,4.551421537,0,8.936163643
No,12,48,3.042794211,15,75.32200443,813,104,6007,1164,some college,40.32630892,7.515762497,4.41587931,28.24763555
Yes,6,23,0.728197198,5,59.77334158,382,104,6007,1165,some college,26.71335679,5.215964227,0.562637099,30.32457951
No,8,26,1.452328929,6,36.48011791,262,104,6007,1166,some college,65.71511901,2.425023078,4.32305523,9.507223269
Yes,4,48,4.072528702,9,63.54064546,714,104,6007,1167,high school,33.881945,5.240709196,3.220413384,23.55764274
No,10,36,2.729947359,11,128.3784926,215,104,6007,1168,some college,32.05940491,10.76104054,0,28.58800393
No,0,23,2.298523446,1,10.5102957,269,104,6007,1169,some college,44.39684516,3.602289172,6.153337897,20.78133942
No,11,29,1.01725715,10,66.11157634,194,104,6007,1170,some college,30.89268348,0.625687947,4.409931456,21.6628788
No,13,49,4.071589595,17,131.3855446,372,104,6007,1171,high school,44.26757566,9.726366329,0,24.90124727
Yes,0,27,2.593626473,0,21.04759398,416,104,6007,1172,some college,35.70212989,1.942515079,3.54351644,28.52559364
No,10,37,3.559826026,11,45.31647987,181,104,6007,1173,some college,43.82043534,3.659498725,2.075579893,22.65788678
Yes,3,27,0.665067704,3,143.9606864,178,104,6007,1174,undergrad degree,18.76577009,6.775921536,0,12.52467537
Yes,4,31,1.518349396,5,36.64214888,483,104,6007,1175,some college,55.92211469,9.35927707,3.044178214,13.22823561
No,12,41,2.322483719,14,97.58534113,422,104,6007,1176,high school,80.55663025,3.298852417,0,26.07030399
No,13,52,1.210819289,18,72.73748647,266,104,6007,1177,high school,34.70731057,5.038470077,4.845266783,20.41567058
No,6,29,0.974372424,5,33.00964253,410,104,6007,1178,some college,77.40835607,2.585886982,2.655629823,17.91827453
No,14,51,1.210490074,18,127.1068582,464,104,6007,1179,some college,54.52909445,2.605219833,0.46301693,30.4506614
Yes,2,28,1.616768641,2,42.42541381,108,104,6007,1180,some college,62.55253536,3.918910655,0,16.64740831
Yes,5,23,0.144934884,3,47.83354241,321,104,6007,1181,some college,26.64314237,8.215592946,0,17.07925374
Yes,4,43,2.614329817,7,35.04903284,450,104,6007,1182,some college,17.8986291,11.19294855,2.936381119,17.51267682
No,15,56,1.488738202,20,116.057565,866,104,6007,1183,postgrad degree,19.4536894,1.076306793,0,6.379512798
No,13,35,2.942406992,13,55.7525214,345,104,6007,1184,some college,53.25649231,4.506788246,0,14.38100073
No,10,44,9.216609529,12,82.50955517,529,104,6007,1185,some college,21.97507497,2.60342278,7.961147178,28.66858753
No,6,41,0.68557526,9,128.2079728,876,104,6007,1186,undergrad degree,33.37214387,10.16085621,1.276891035,27.22778512
No,13,33,0.131553355,13,68.91856006,492,104,6007,1187,high school,20.63471783,8.675962794,2.580077915,31.76741005
No,4,32,1.741046969,5,64.86359665,480,104,6007,1188,high school,64.05928816,5.126681313,2.848773355,35.81746019
No,6,28,1.195797542,5,59.33846552,360,104,6007,1189,high school incomplete,40.82917193,5.373777401,4.628224405,27.83680807
Yes,2,50,1.41010818,8,72.93421453,199,104,6007,1190,some college,38.94915312,1.920818807,3.22724615,11.97796295
Yes,12,34,2.682196095,12,73.7431101,345,104,6007,1191,some college,53.14104583,3.698905926,1.582340906,9.205603212
Yes,3,26,1.28190916,3,85.62705903,274,104,6007,1192,undergrad degree,54.90925151,6.608564371,0,24.13470972
No,13,69,2.645268563,22,78.05536545,502,104,6007,1193,postgrad degree,45.21910167,3.088046642,0,10.40942837
No,8,26,2.010665878,7,42.25951004,1296,104,6007,1194,some college,13.4634025,9.232260437,0,11.97620841
No,14,63,7.21624555,21,63.71345926,221,104,6007,1195,high school,38.45076781,1.117804413,6.505742096,16.70354905
No,9,35,1.607811317,10,62.92713066,145,104,6007,1196,undergrad degree,43.30579805,9.015732054,0,30.07388717
No,13,63,6.142564945,20,70.67306479,249,104,6007,1197,postgrad degree,34.85031067,13.36178793,6.076754888,24.69386361
No,12,69,2.61873405,21,97.30759009,482,104,6007,1198,some college,25.25772463,9.917041624,7.193225557,12.89338954
No,13,29,0.428929822,12,140.1421488,641,104,6007,1199,some college,33.90513037,13.26385676,0.081559098,16.19080963
No,14,55,14.1023762,19,129.6368921,360,105,10744,1200,some college,37.98117612,5.548910464,14.65809909,27.79910354
Yes,1,21,2.436082325,0,13.07306802,700,105,10744,1201,high school,19.60119984,1.19045672,4.962160842,31.21448769
No,18,43,12.20032589,19,87.80391098,235,105,10744,1202,some college,34.84480874,4.607007788,10.72942667,20.56069014
No,2,63,4.166065513,11,47.00505229,197,105,10744,1203,some college,78.24829704,0.608206174,3.143069674,12.96797059
No,7,39,0.495197635,9,57.98674417,288,105,10744,1204,some college,24.65774283,2.515663957,5.123821802,21.49988516
No,8,31,1.279348973,8,45.97373869,1685,105,10744,1205,high school incomplete,40.74791191,8.245577761,1.177073503,27.20341317
Yes,9,48,1.682203174,13,52.77840141,287,105,10744,1206,some college,20.97980998,0.953071645,2.132880144,14.23627671
Yes,6,33,10.19578257,7,90.21773853,438,105,10744,1207,some college,27.01181454,5.921412605,6.975238746,27.74179605
No,15,48,1.418660277,18,64.89684762,484,105,10744,1208,some college,17.98167243,2.112699141,3.753291731,12.30347841
No,13,52,3.004571183,17,84.88069327,689,105,10744,1209,undergrad degree,62.979996,2.899275758,0,31.58849745
No,5,30,1.244357199,5,35.27818985,461,105,10744,1210,undergrad degree,25.58624983,4.134251725,5.676362349,12.98183494
Yes,1,68,1.716175911,12,50.20953767,636,105,10744,1211,high school,86.90144986,1.311895882,0,13.64996349
No,6,26,1.077473166,5,102.0136308,302,105,10744,1212,some college,64.57297022,6.680280837,2.56324779,8.048071375
Yes,3,22,7.212986228,2,34.01916717,422,105,10744,1213,some college,95.89833931,5.531226202,7.785448452,14.74665088
No,15,33,2.860888854,14,128.2122551,1011,105,10744,1214,undergrad degree,66.32558617,3.87691925,0,5.200127637
No,10,45,3.153774323,13,120.4622716,178,105,10744,1215,postgrad degree,43.07731641,5.843869218,7.951434526,20.73373851
No,2,28,4.618124645,2,25.34356077,355,105,10744,1216,high school,26.8993574,4.660123417,2.156642614,18.50344713
No,7,25,1.203017937,5,51.78261163,152,105,10744,1217,undergrad degree,45.03784351,3.636500998,0,23.42212438
No,6,30,0.041737284,6,33.08841356,721,105,10744,1218,some college,34.97580704,6.528604052,3.909796357,28.04693123
Yes,10,29,2.095288708,9,51.24453584,848,105,10744,1219,high school,46.76801349,7.738233706,0,14.12207228
No,1,21,1.058095637,0,19.08530713,102,105,10744,1220,some college,51.89372763,7.999675825,3.881778244,13.46856001
No,5,52,1.458887145,11,70.60676452,338,105,10744,1221,some college,38.6909413,9.184677345,4.450082745,17.5159621
Yes,3,32,1.181820164,4,37.09508891,163,105,10744,1222,undergrad degree,43.70581193,3.493675345,4.467385275,24.70929226
No,16,70,1.148909751,25,95.21211575,987,105,10744,1223,some college,92.14469845,3.687560175,0,35.38619288
No,13,32,2.470899042,13,65.83869476,241,105,10744,1224,high school,25.28828187,4.484319705,0.350113494,26.96112927
Yes,5,42,2.823181084,8,479.1619112,177,105,10744,1225,some college,24.9499686,8.540764794,4.675425611,22.26118905
No,2,49,4.189258256,7,20.42298323,73,105,10744,1226,high school,62.38565781,13.71116512,5.950603978,8.618028994
No,11,36,1.328166388,12,52.35778866,183,105,10744,1227,undergrad degree,41.66944528,6.643454692,0,11.81352478
No,6,30,0.859899811,6,63.52478937,112,105,10744,1228,some college,42.05393414,2.720624699,3.260101778,33.17178464
Yes,0,26,0.638585907,0,34.38452953,251,105,10744,1229,high school,30.45606519,2.767441655,2.995206523,10.26618642
No,7,25,0.602287611,5,40.09910588,505,105,10744,1230,some college,65.57690045,5.867504451,1.373192115,16.70683283
No,4,44,0.406358346,8,64.42157076,581,105,10744,1231,high school incomplete,49.29066442,4.566534916,0,24.88775324
No,8,47,1.960782623,12,53.24605896,384,105,10744,1232,some college,52.13370377,5.981062217,1.684927279,19.69370223
Yes,11,27,7.542206661,10,68.86158858,651,105,10744,1233,some college,31.87524631,7.598611752,8.525153052,3.607450603
Yes,0,35,2.845805789,3,285.5759892,558,105,10744,1234,high school,17.28528946,9.029238728,4.257202194,19.32544412
Yes,1,30,1.234706942,2,50.75976104,180,105,10744,1235,some college,69.28452766,4.697994334,6.483660901,21.31896735
Yes,3,34,2.841482151,5,50.80358892,208,105,10744,1236,undergrad degree,67.73661769,18.0639438,2.291689442,26.9872316
No,5,43,1.182180676,8,90.41777509,281,105,10744,1237,some college,31.85435294,2.702668356,6.603284772,12.8974953
Yes,1,25,7.441689244,0,41.12958481,232,105,10744,1238,some college,34.35790152,17.38286982,11.20710327,21.55766294
